task,text,true_label,pred_label
stance_abortion,Bernadette Smyth is an ignorant thunder cunt. Not her life. Not her body. Not her business. ItsABallOfCellsNotABaby NewsNI SemST,favor,against
stance_abortion,So prolifers are against health rights? SemST,favor,against
stance_abortion,"@user Oops she did it again Bristol is PREGNANT. Candies is a waste. U paid her 400,000 for WHAT? PPL Send ur $ to SemST",none,against
stance_abortion,So unfortunate thebriefcase @user Adoption isn't always the answer. SemST,favor,against
stance_abortion,@user I am in favor of women's rights and their right to choose. How I chose is irrelevant to others SemST,against,favor
stance_abortion,"@user @user Once they're born, that is. SemST",none,against
stance_abortion,@user @user @user @user @user Hypocrisy: saying LoveWins while supporting QuitKillingGirls SemST,none,against
stance_abortion,Looking forward to the protest today. I can't be there long but I hope my signs will. Kingston protesters SemST,against,none
stance_abortion,POTUS seals his legacy w/ 1/2 doz wins. The GOP agenda? STILL!! Repeal Gun laws & Obamacare Ban Access 2 TotalLosers NoIdeas SemST,against,none
stance_feminist,RT @user Emma Psychowicz He was cleared. EmmaSulkowitz PaulNungesser justice fauxminism SemST,against,none
stance_feminist,WeNeedFeminism because YesAllWomen simply do not get the same level of respect that I get as a man. HeForShe SemST,favor,against
stance_feminist,When I go up the steps of my house I feel like the @user .. I too have won the Women's World Cup. brokenlegprobs USA SemST,against,favor
stance_feminist,"@user To paraphrase Friedan, the more a drive is deprived of data, the more its data will expand to fill the space. 1960s SemST",none,against
stance_feminist,"Nice job referring to a human being as an ""It"" DolphZiggler. WomensWrestling RawChicago SemST",favor,against
stance_feminist,"I hate feminism, give me a reason why I shouldn't. feminist notallmen HeForShe SemST",against,favor
stance_feminist,Great to see singer turned activist @user on the stage to interview @user Glastonbury glasto charlottechurch SemST,favor,none
stance_feminist,@user Have you considered changing your Twitter handle to vagina monologue? SemST,against,none
stance_feminist,Ladies is pimps too. Go on brush your shoulders off. SemST,favor,against
stance_feminist,@user is this list for real? Please god it better be a joke. No man or woman should ever pay attention to this shit. pissed SemST,none,against
stance_feminist,"Tomorrow, we gone see think pieces on @user 's pirate skit. wesayyoho butwedontsayho cuzhoisdisrespectfulyo kinda SemST",none,against
stance_feminist,Some men do not deserve to be called gentlemen SemST,none,favor
stance_feminist,"Watch colors code red now. It shows how a newly wedded wife con's the family. ,""con bride"" colors scrap498a SemST",none,against
stance_feminist,Here we are fighting for equality when @user decide to only allow ladies heat breaks. Do men not get hot too? SemST,against,favor
stance_feminist,Tumblr made me slightly transphobic and misogynistic. Tumblr SemST,none,against
stance_feminist,Elizabeth Cady Stanton did not die so you could get upset about fuckbois that don't text back SemST,favor,against
stance_feminist,Just want gender politics to be over. My brain hurts. genderequity patriarchy MRA SemST,against,favor
stance_feminist,RT @user Feminism: the belief that men and women should have equal rights and opportunities. feminist lovetheladies sor... SemST,against,favor
stance_feminist,"@user This lady on yt is right, Radical feminist have the loudest voices while normal,logical feminist are being outspoken. SemST",favor,against
stance_feminist,@user @user nah abi gonna get married to a rich white guy and gonna give me half of the money when they're divorced SemST,none,against
stance_hillary,"I think marriage is as it has always been, between a man and a woman. - @user MarriageEquaility justsaying SemST",against,none
stance_hillary,@user @user @user @user I'm voting in the Democrat primary this year...to support @user SemST,against,favor
stance_hillary,It's what's best for business and presidential seat for HillaryClinton SemST,against,favor
stance_hillary,@user @user I love it! One of our biggest donors is Saudi Arabia. They support women's rights completely! GoTeam SemST,against,favor
stance_hillary,Come visit me at the Jefferson County Fair! Representative Curt Hanson will tell a joke and I'll tell a story about why vote SemST,none,favor
stance_hillary,CPC thinks they can run antisocial personal attack advertising on socialmedia! LOL! cdnpoli StopHarper FeelTheBern fnpoli SemST,none,against
stance_hillary,@user The stench of low tide.is lasting NO! ===> SemST,none,against
stance_hillary,@user @user The compliant media allowed themeselves to b herded by a couple of strands of rope? Good sheep! SemST,against,none
stance_hillary,"@user gee, what a busy schedule she had. SemST",against,none
stance_hillary,"@user was that ""awkwardness"" or ""awfulness""? I think the latter SemST",against,none
stance_hillary,@user @user ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY AND GOOD FOR OUR CHILDREN tcot SemST,none,against
stance_hillary,Hillary is on her way to Baltimore to be their champion. BaltimoreRiots SemST,favor,against
stance_hillary,@user @user @user @user @user @user @user That's right! SemST,against,none
stance_hillary,RT @user Are y'all TexasTech RedRaiders ready for MarcoRubio in 2016 TTU TexasTechUniversity Rubio Texas N... SemST,against,none
stance_hillary,"White, middle-aged men did a pretty good job leading this Country for 230 yrs. Racist? Sexist? No, I'm a realist. SemST",against,none
stance_hillary,@user @user @user VoteForHillary @user isn't racist. A leader who demands EqualityForAll SemST,favor,against
stance_hillary,@user SO? THt will NEVER erase their support of DOMA & silence on LGBT LGBTQ rights until it is politically aventageous. SemST,against,none
stance_hillary,"I will give the Jewish state all the support to vanquish Hamas & if that means killing 200,000 Gazans, than so be it. - SemST",none,against
stance_hillary,@user literally the greatest video I have ever seen. SemST,favor,none
stance_hillary,"I need @user & @user to stop emailing me. I love you, but I need my space. stillvotingforyou SemST",favor,against
irony,Can't fck with you hoe an I'm sorry,irony,non_irony
irony,I couldnt help myself.. I am a bad person...,irony,non_irony
irony,Why does sue give bonnie anxiety and stress pills,irony,non_irony
irony,@user what time is the UFC press conference tomorrow with names of numerous fighters getting cut,irony,non_irony
irony,Every inch of you is perfect from the bottom to the top UNLESS YOU'RE SKINNY Shade Sarcasm TheMoreYouKnow,non_irony,irony
irony,"Contemplating responding to @user tweet saying ""what remains of their pride"" but not sure how well that will go down",irony,non_irony
irony,Happy Birthday to me! imgettinold not ionlygetbetter ROLL TIDE!,irony,non_irony
irony,@user @user it's like you're in the Maldives seaandwhitesands,non_irony,irony
irony,@user @user can't wait to see ya both,irony,non_irony
irony,"@user we are here to fight endlessly and change the system, atleast I am not going anywhere irrespective of result AK4Delhi",non_irony,irony
irony,@user Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,non_irony,irony
irony,saturday class wee,irony,non_irony
irony,Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem,non_irony,irony
irony,@user so funny lolololol,irony,non_irony
irony,Uh-oh. Better head for the hills. storm clouds seekshelter,non_irony,irony
irony,2014 was the year @user and I became Lords watchthelordman,non_irony,irony
irony,Yeah so I'm on a diet,irony,non_irony
irony,Church sign of the day: How would you feel if we celebrated your birthday without you? StoleEm TheReasonForTheSeason,non_irony,irony
irony,Home finally! What a way to start the christmas break!!!,non_irony,irony
irony,Funny 18+ Turn On aquabreeze:||disgustinghotels:||not all men,non_irony,irony
emotion,Being @ work sober ‍ ️ I can not do it,sadness,optimism
emotion,@user just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything shy,anger,sadness
emotion,"@user Your stomach growl woke you up, huh?",anger,joy
emotion,"@user @user @user @user @user as a fellow UP grad, i shiver at the shallowness of his arguments",anger,joy
emotion,"Kik to trade, have fun or a conversation (kik: youraffair) kik kikme messageme textme pics trade tradepics dm snap bored",joy,sadness
emotion,@user @user @user @user I thought it was because she once sunk her teeth into something that's meant 2b sooked,anger,joy
emotion,omg i just heard my dads alarm go off have i really been up all this time,anger,joy
emotion,@user AND his momma was worse than Tony sopranos momma wow history major,anger,joy
emotion,@user first second on WillTNT is music to my ears ️ shaking missedyou,sadness,joy
emotion,I don't ever know how to change the vibe once it's ruined. Is that considered holding a grudge?,anger,sadness
emotion,10 minutes with an incense and all I get is 2 Rattatas. PokemonGO,anger,sadness
emotion,Haven't gotten one hour of sleep... Today is going to be a fun day,sadness,joy
emotion,Q&A with N. Christie @user fr. @user What would Peter and Dardanella think of us knowing? poorthings,sadness,optimism
emotion,"@user @user It is very specific areas only. I care like 0% about clothes, much to my mother's dismay.",sadness,optimism
emotion,we shiver in the pause between words \nabandonment still fresh upon the tips of our tongues,optimism,sadness
emotion,People dread a Snapchat streak with me cos the death threats I send to save it,anger,sadness
emotion,Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours l...,anger,sadness
emotion,"@user Boro are at the OS before then, they could give the stewards a good work out. Chelsea will get about 8k, will be lively.",joy,optimism
emotion,@user Lol yeah I read that but I stayed up and didn't nap tillI collect 3 people who I think they've got me !!,joy,optimism
emotion,Howl at the moon with @user at @user next Wednesday the 28th for a FREE double feature of SILVER BULLET and CURSED horror,sadness,joy
hate,“get premium you cheap skank”,non-hate,hate
hate,no offense but this big bitch is serving you ALLLLLL types of kunt in this picture,hate,non-hate
hate,"Watch: Hungary Won't pay for migrants 'new life' in Europe ""We put our people first"" - Free Speech Time - @user",hate,non-hate
hate,"She's a hoe, she ugly, such a bitch YOU DATED HER PLZ SIT DOWN FELLA",non-hate,hate
hate,@user @user Go back to your hole you fucking roach.,non-hate,hate
hate,“She a hoe” “She ugly” “She fat” “Her head trash” “Her pussy dry” “Her pussy stank”,hate,non-hate
hate,@user @user @user @user Chill your beans you crazy bitch just because you have a cunt doesn’t mean you resort straight to using it,hate,non-hate
hate,@user you ain't shit,non-hate,hate
hate,@user We're doing it without you Dem's BuildThatWall,non-hate,hate
hate,RT. PresidentTrump This Election Is A Choice Between:Democrats Who Want To AbolishICE Republicans Who Want To AbolishMS13 Democrats Want OpenBorders SanctuaryCitiesTaxIncreasesRepublicans WantWallOfProtectionNoDACANoIllegalSanctuaries,non-hate,hate
hate,I’m fighting to stop U.S. Customs and Border Protection from abusing immigrant children. Will you join me?,hate,non-hate
hate,I really be feeling like a whole new ass bitch with my hair straight,non-hate,hate
hate,MICHAEL IMMA FKN RIP YOU UP IF DONT STOP TAKING ALL THE INTERNET TO STREAM PORN OR ANIME & STOP WALKIMG AROUND W YOUR ASS OUT YOU FAT CUNT,non-hate,hate
hate,"Shoes? $1,200! Glasses? Like $400. But bitch, my outfit?? $20, bitch. Get yourself together, bitch. Learn how to budget, hoe.",hate,non-hate
hate,@user @user Shut the fuck up you fucking pussy ass bitch I hope your country gets bombed the fuck up,non-hate,hate
hate,@user Haters are going to hate. They hate truth Mr. President. The more haters the left throws at you the more you know you are on the right track. It is sedition. We all see it. We have your back! MAGA2018 StringerTogether RunRunAway Proud,hate,non-hate
hate,.@user Republicans in congress dont want to see another Republican impeached. @user & @user on secret recording said this all goes away if the Republicans dont keep the House. NunesTape shows plot to fire Rosenstein. VoteBlueNoMatterWho SendThemHome,hate,non-hate
hate,Not according to the holes in Denmark,non-hate,hate
hate,PMLN is acting like a whore who incites people to rape her in order to use it as a victim card and earn relevance.…,hate,non-hate
hate,"i cant wait to have the monies so i can buy shoes, im gonna be that broke bitch with way too many shoes and not enough for stuff i need",non-hate,hate
offensive,@user @user @user Lol. It’s funny how you assumed I only have those qualifications. Typical black tweep. When they are losing a debate they assume the other party is lower than them. “That’s why you are broke.” “Stay there with your debt.” Yet they’ve never met the person.,offensive,non-offensive
offensive,@user He is only or 2 games? I thought it was 4 fire some reason,non-offensive,offensive
offensive,"@user @user Conservatives"""" try to preserve institutions that young people are constantly trying to destroy because the aging left brainwash them into taking action. Young people have no conception of a sense of maintaining effective systems. Most are connected to destructive impuse.""""",non-offensive,offensive
offensive,@user You are becoming the court jester of the senate,offensive,non-offensive
offensive,@user Are you really Michael Moore or are you Rosie in “drag”,non-offensive,offensive
offensive,@user @user That's a simplistic comparison. Population density and poverty levels are big contributors. You need a massive cultural shift and constitutional amendments for gun control to be effective like in other countries. In the mean time people will keep dying.,non-offensive,offensive
offensive,Looking into the shooting in Maryland but no info since the feed is nothing but protest. Why do the gun grabbers not want anything out. We know it was a female. MAGA,non-offensive,offensive
offensive,"@user side note: I'm always amazed when conservatives say Y'know America's X(culture/institution/etc) isn't perfect, but it's better than *the entire rest of the world*"""" Like, really Tucker? You've examined every other justice system in the world and determined ours to be the best?""""",non-offensive,offensive
offensive,@user This is just more of the standard Trudeau “Liberals” emotional manipulation of Canadians. They think Canadians are stupid.,offensive,non-offensive
offensive,@user @user Then why the fuck did they elect him,offensive,non-offensive
offensive,@user @user And most Hillary supporters are racist liberals.,offensive,non-offensive
offensive,@user @user Also I see you are appalled at Doxing of Ford’s address. Are you appalled at doxing of ICE agents by Antifa and advocating for their and their families physical assault ?,non-offensive,offensive
offensive,@user Wow...mid way through 2018 and Theresa May and the Conservatives discover that Social housing exists,non-offensive,offensive
offensive,@user @user Can u fuck off already,offensive,non-offensive
offensive,@user AARON RODGERS WILL NEVER WIN A RING THE REST OF HIS SAD ASS CAREER! I HOPE YOU HIS REGULAR SEASON HEROICS CAUSE THATS ALL HE IS GOOD FOR! HAVE A NICE DAY!,offensive,non-offensive
offensive,@user @user It wasn’t that long ago it was taboo for the left to be involved in the military or weapons at all...now they all want to be military so they can say they are gun “experts” and push gun control,non-offensive,offensive
offensive,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Are you really serious?! Comparing some of the most prestigious positions in the nation with being a slave? You just keep proving your ignorance & inability for logical thought! MAGA,offensive,non-offensive
offensive,@user It’s a disgrace and @user are in danger of imploding if they don’t remove @user,offensive,non-offensive
offensive,@user Aj nahin to kal tum ko bi marna hy you are bad thinking,non-offensive,offensive
offensive,@user @user @user @user @user @user @user @user @user I’m shocked to learn human traffickers had guns. Some probably illegal too. CA needs more gun control. But don’t worry about the actual crime. The pic of black guns is worse.,offensive,non-offensive
sentiment,"""Tomorrow morning my bike community, KGB, will exercise RoadBiking on Sudirman Road but I'm not going because I have to go to Church""",negative,neutral
sentiment,ELSA has now launched the 11th edition of the ELSA Moot Court Competition on WTO law! Sign up and face the...,neutral,positive
sentiment,@user Time you did some research. Nazi roots,neutral,negative
sentiment,Well it's about damn time Nike,neutral,negative
sentiment,Tomorrow it's going to be July 63 and still no frank ocean album,negative,neutral
sentiment,"@user I don't even know where it came from, aside from Metro randomly saying ""Nintendo are doing iOS so may be there""",neutral,negative
sentiment,@user @user @user Trump cant beat Hillary that is confirmed take it from me but hillary may not get nominated,neutral,negative
sentiment,"Next time Google redesigns its logo, it should so hire our readers to do it. SO much better!",neutral,positive
sentiment,"""don't want to leave during the middle of the Murray match, but I don't want to be dead for my 8:30 tomorrow decisions""",neutral,negative
sentiment,"Rock Calendar 9-7-01: Performing on stage for first time in 11 years, Michael Jackson is reunited with Jackson 5 at The 30th Anniv. Celeb.",positive,neutral
sentiment,"""RIP the Rousey circus. Dana white; a """"once ever athlete"""" after 12 wins...liverpool won 12 in a row in 13/14 and finished 2nd!""",neutral,negative
sentiment,"""I'll blow up soon & not even remember a day before last june, june 14th, Club Paradise, to be correct.. The last day every thing seemed ok.""",negative,neutral
sentiment,@user haha ok btw a friend of mine's getting a chance to meet Rahul Dravid on friday.Some twitter contest she won.,positive,neutral
sentiment,Alba the dog wants more detail on Brexit policy prior to Article 50 notification sadnessinhereyes,neutral,negative
sentiment,I know that had to be hard for Al Michaels to announce the passing of Frank Gifford. They covered a lot of games on Monday nights. MNF NFL,positive,neutral
sentiment,Plz halp. I need to see The Weeknd at the Oracle in December.,positive,neutral
sentiment,Wow what will they think of next? Hatchimals,positive,neutral
sentiment,Working San Diego County Fair's main parking lot on 4th of July for the first time... Challenge Accepted...,positive,neutral
sentiment,That moment when u realize u may be single handedly supporting the entire Nike corporation. But can u really ever have too much Nike stuff?,positive,neutral
sentiment,My Yahoo Scoreboard is already showing the Lions game vs Cincinnati on Friday. areyoufreakingkiddingme,positive,negative
emoji,"New Favorite Drink :)vita coconut pineapple sunday pure water @ Los Angeles, California",blue_heart,beaming_face_with_smiling_eyes
emoji,"It's important to take care of self while you're trying to conquer the world! Hence, I just had…",smiling_face_with_smiling_eyes,sparkles
emoji,"In my defense, this did not happen on my birthday @user freshbrothers pizzalover…",beaming_face_with_smiling_eyes,fire
emoji,"Had to get a picture for Bob. Huge M&M fanatic, especially peanut! cred: jasper_pie…",camera_with_flash,camera
emoji,"Wow... Check her out . @ Oracle Corporation, Worldwide Headquarters",winking_face,smiling_face_with_smiling_eyes
emoji,dailyemoji @ Joshua Tree National Park,winking_face_with_tongue,smiling_face_with_hearteyes
emoji,My pretty friends looking flawless in their new unis! cheersportsharks finbacks @ Tribute…,fire,face_blowing_a_kiss
emoji,StalkingLeVar season 2 Premier photos by @user @ The Other Door,face_blowing_a_kiss,camera_with_flash
emoji,Dad flew mom down to the beach today since she couldn't join us last weekend @ Rosemary…,two_hearts,face_blowing_a_kiss
emoji,"Home sweet home ️ (@ City of Los Angeles in Los Angeles, CA)",red_heart,sun
emoji,"The struggle was real, yo! @ The Pumpkin Patch, Sauvie Island",winking_face_with_tongue,face_with_tears_of_joy
emoji,OMG KEVIN! He's so handsome in person!!! *SWOON* nilissues fangirlissues bsb…,smiling_face_with_hearteyes,fire
emoji,I had had to do it for the people and the city fuxk it trendingchallenge tagg @user …,hundred_points,fire
emoji,Only woke up from the food coma for the 3 rounds of dessert @user,Christmas_tree,winking_face
emoji,My Mood all 2017 S/O @user @ Miami Dade Kendall,hundred_points,red_heart
emoji,Sisters in town @ Bottega Louie Restaurant and Gourmet Market,face_blowing_a_kiss,smiling_face_with_sunglasses
emoji,Great saying from AlbertEinstein realstory fact Mrnofilters GilbertFonticoba…,hundred_points,fire
emoji,Pool day with these two! @ Jessamine County Aquatics Center,purple_heart,beaming_face_with_smiling_eyes
emoji,This! ....bigmoves entrepreneur womenempowerment…,hundred_points,purple_heart
emoji,Oskie & I Led Zeppelin. Hes a real Bonhamboy & a known Plantman. I'm a bit of a Pageturner &…,blue_heart,face_with_tears_of_joy
